Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0401810060046799,0.331786579487754,0.0352959668076187,0,0,0,0.150576513646478,0.000108130795364864,-2.46379353815347E-20,7.96943004616914E-08,0.000192562652313604,-1.89390776232506E-19,0.000181703429676107,0,0,0,0,0,0,package://Robot_visual/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/base_link.STL,,body^Robot_visual-1,global_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_Link,0.000375231678648277,0.0220774190461577,0.00781561832095265,0,0,0,0.0406255317489471,9.80786300584941E-06,-3.03552295829515E-22,-9.71909955561927E-10,6.43716459709308E-06,-5.23453333357324E-08,6.33819448840706E-06,0,0,0,0,0,0,package://Robot_visual/meshes/hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/hip_Link.STL,,hip^Robot_visual-1,hip2_coordinate,hip2_axis,hip_joint,revolute,0.0026505,0.24245,0.025446,0,0,0,base_link,0,1,0,0.505,8.72,0,3.14,,,,,,,,
thigh_Link,0.0253254685287808,-0.0180431075131695,7.81312186782721E-06,0,0,0,0.0474577407114944,8.66835175137434E-06,-5.23453333357292E-08,-1.06872484518158E-10,6.98674583183773E-06,8.25183020102476E-11,1.22212930303417E-05,0,0,0,0,0,0,package://Robot_visual/meshes/thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/thigh_Link.STL,,thigh^Robot_visual-1,hip_coordinate,hip_axis,thigh_joint,revolute,-0.019363,-0.02734,1.8014E-05,0,0,0,hip_Link,1,0,0,0.505,8.72,0,1.047,,,,,,,,
leg_Link,-0.0285390710342944,-0.0126064105119781,0.00485979795787559,0,0,0,0.0582940636416205,2.72770431978539E-05,5.23415177903817E-08,2.01305685819592E-13,8.82495379340482E-06,-9.64680350901821E-07,2.9839846600908E-05,0,0,0,0,0,0,package://Robot_visual/meshes/leg_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/leg_Link.STL,,leg^Robot_visual-1,knee_coordinate,knee_axis,leg_joint,revolute,0.054,-0.09411,3.5486E-05,0,0,0,thigh_Link,1,0,0,0.505,8.72,0,1.047,,,,,,,,
foot1Link,-0.0264476634523562,-0.00503739187076357,0.00815571818852375,0,0,0,0.0535012177122182,2.06588045150592E-05,5.19624692095533E-08,2.99656855482002E-08,2.67845482317156E-05,3.96121664948847E-22,1.54972909145E-05,0,0,0,0,0,0,package://Robot_visual/meshes/foot1Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/foot1Link.STL,,foot1^Robot_visual-1,foot_coordinate,foot_axis,foot1_joint,revolute,0,-0.093,0,0,0,0,leg_Link,1,0,0,0.505,8.72,0,0.523,,,,,,,,
foot2_Link,-2.5853164262955E-05,0.00566057052955886,-0.0216512687907475,0,0,0,0.0372088933681426,9.6735685377817E-06,-3.82864126172109E-10,-4.26964685275401E-21,6.36833977773333E-06,5.2345333335728E-08,5.99785017877914E-06,0,0,0,0,0,0,package://Robot_visual/meshes/foot2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/foot2_Link.STL,,foot2^Robot_visual-1,foot2_coordinate,foot2_axis,foot2_joint,revolute,-0.024645,-0.093,-0.0205,0,0,0,leg_Link,0,0,1,0.505,8.72,0,3.14,,,,,,,,
hip2_Link,0.000375231679004905,0.019077419046091,0.00781561832095055,0,0,0,0.0812510634978942,1.96157260116988E-05,-1.23915022988868E-21,-1.94381991112374E-09,1.28743291941862E-05,-1.04690666671465E-07,1.26763889768141E-05,0,0,0,0,0,0,package://Robot_visual/meshes/hip2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/hip2_Link.STL,,hip2^Robot_visual-1,hip4_coordinate,hip4_axis,hip2_joint,revolute,0.077751,0.24545,0.025446,0,0,0,base_link,0,1,0,0.505,8.72,0,3.142,,,,,,,,
thigh2_Link,-0.0342620709334726,0.049417419046091,0.00779760382796379,0,0,0,0.0812510634978942,1.96157260116988E-05,-1.22807918596397E-21,-1.94381991112374E-09,1.28743291941862E-05,-1.04690666671465E-07,1.26763889768141E-05,0,0,0,0,0,0,package://Robot_visual/meshes/thigh2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/thigh2_Link.STL,,hip2^Robot_visual-1,hip3_coordinate,hip3_axis,thigh2_joint,revolute,0.034637,-0.03034,1.8014E-05,0,0,0,hip2_Link,1,0,0,0.505,8.72,0,1.04,,,,,,,,
leg2_Link,-0.0285165850182353,-0.0110288911479769,0.00388806846756112,0,0,0,0.111277328855263,5.37565328428597E-05,1.04683042764819E-07,5.3336212480671E-13,1.62595313750558E-05,-1.34271492398453E-06,5.75380896642682E-05,0,0,0,0,0,0,package://Robot_visual/meshes/leg2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/leg2_Link.STL,,leg2^Robot_visual-1,leg_coordinate,leg_axis,leg2_joint,revolute,0,-0.09411,3.5486E-05,0,0,0,thigh2_Link,-1,0,0,0.505,8.72,0,0.523,,,,,,,,
foot3_Link,-0.026447663451981,-0.00503739187082926,0.0081557181885232,0,0,0,0.0535012177122182,2.06588045150592E-05,5.19624692095534E-08,2.99656855482004E-08,2.67845482317156E-05,4.06824048578485E-22,1.54972909145E-05,0,0,0,0,0,0,package://Robot_visual/meshes/foot3_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/foot3_Link.STL,,foot3^Robot_visual-1,foot3_coordinate,foot3_axis,foot3_joint,revolute,0,-0.092986,0.001587,0,0,0,leg2_Link,1,0,0,0.505,8.72,0,0.523,,,,,,,,
foot4_Link,-2.58531638877152E-05,0.00566057052949243,-0.0216512687907491,0,0,0,0.0372088933681426,9.6735685377817E-06,-3.82864126180089E-10,-8.28829927605747E-22,6.36833977773332E-06,5.23453333357268E-08,5.99785017877913E-06,0,0,0,0,0,0,package://Robot_visual/meshes/foot4_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/foot4_Link.STL,,foot4^Robot_visual-1,foot4_coordinate,foot4_axis,foot4_joint,revolute,-0.024645,-0.092986,-0.018913,0,0,0,leg2_Link,0,0,-1,0.505,8.72,0,3.14,,,,,,,,
neck_Link,-0.0114350675543291,0.0298274611173384,-0.0147167215824987,0,0,0,0.0535113637048835,7.73004737504562E-06,-1.32510352644368E-08,1.90610291175162E-08,2.33892662961815E-05,2.34093466656608E-06,2.68027256486278E-05,0,0,0,0,0,0,package://Robot_visual/meshes/neck_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_visual/meshes/neck_Link.STL,,head^Robot_visual-1,Coordinate System1,neck_coordinate,neck_joint,revolute,0.048815,0.38675,0.061874,3.1416,0,3.1416,base_link,0,-1,0,0.505,8.72,0,3.14,,,,,,,,
